Company Name,Website,Domain
Weyerhauser Company,https://www.weyerhaeuser.com/,
WGL Holdings Inc,http://www.wglholdings.com/,
Whirlpool Corporation,https://www.whirlpoolcorp.com/,
Whole Foods Market Inc,https://www.wholefoodsmarket.com/,
Willamette Industries Inc.,,
Williams Companies Inc,https://co.williams.com/,
Williams Sonoma Inc,http://www.williams-sonomainc.com/,
Winn Dixie Stores Inc,https://www.winndixie.com/,
Wisconsin Energy Corporation,http://www.wecenergygroup.com/,
Wm Wrigley Jr Company,https://en.wikipedia.org/wiki/Wrigley_Company,
World Fuel Services Corporation,,
WorldCom Inc,,
Worthington Industries Inc,https://worthingtonindustries.com/Home,
WPS Resources Corporation,http://wisconsinpublicservice.com/,
Wyeth,https://en.wikipedia.org/wiki/Wyeth,
Wyndham International Inc,http://wyndhamdestinations.com/,
Xcel Energy Inc,https://www.xcelenergy.com/,
Xerox Corp,https://www.xerox.com/,
Xilinx Inc,,
XO Communications Inc,https://www.xo.com/,
Yellow Corporation,http://www.yrcw.com/,
York International Corp,http://york.com/,
Yum Brands Inc.,http://www.yum.com/,
Zale Corporation,https://www.zalecorp.com/corporate.aspx,
Zions Bancorporation,,
