Company Name,Website
3Com Corp,http://www.ccioh.com/
3M Company,https://www.3m.com/
A.G. Edwards Inc.,https://en.wikipedia.org/wiki/A._G._Edwards
Abbott Laboratories,http://www.abbott.com/
Abercrombie & Fitch Co.,https://www.abercrombie.com/shop/us
ABM Industries Incorporated,https://www.abm.com/
Ace Hardware Corporation,https://www.acehardware.com/
ACT Manufacturing Inc.,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=341050
Acterna Corp.,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=175016
"Adams Resources & Energy, Inc.",https://www.adamsresources.com/
"ADC Telecommunications, Inc.",https://en.wikipedia.org/wiki/ADC_Telecommunications
Adelphia Communications Corporation,https://en.wikipedia.org/wiki/Adelphia_Communications_Corporation
"Administaff, Inc.",https://www.insperity.com/
Adobe Systems Incorporated,https://www.adobe.com/
Adolph Coors Company,https://en.wikipedia.org/wiki/Adolph_Coors_Company
"Advance Auto Parts, Inc.",https://shop.advanceautoparts.com/
"Advanced Micro Devices, Inc.",https://www.amd.com/en
"AdvancePCS, Inc.",https://www.ftc.gov/enforcement/cases-proceedings/031-0239/caremark-rx-incadvancepcs-matter
"Advantica Restaurant Group, Inc.",http://www.company-histories.com/Advantica-Restaurant-Group-Inc-Company-History.html
The AES Corporation,http://aes.com/
Aetna Inc.,https://www.aetna.com/
"Affiliated Computer Services, Inc.",https://www.xerox.com/en-us/services
AFLAC Incorporated,https://www.aflac.com/
AGCO Corporation,https://www.agcocorp.com/
"Agilent Technologies, Inc.",https://www.agilent.com/
Agway Inc.,http://www.agway.com/
Apartment Investment and Management Company,http://www.aimco.com/
"Air Products and Chemicals, Inc.",http://www.airproducts.com/
"Airborne, Inc.",https://www.airborne.com/
"Airgas, Inc.",http://www.airgas.com/
AK Steel Holding Corporation,https://www.aksteel.com/
"Alaska Air Group, Inc.",http://investor.alaskaair.com/
Alberto-Culver Company,https://en.wikipedia.org/wiki/Alberto-Culver
"Albertson's, Inc.",https://www.albertsons.com/
Alcoa Inc.,http://alcoa.com/
Alleghany Corporation,https://www.alleghany.com/Home/default.aspx
"Allegheny Energy, Inc.",https://en.wikipedia.org/wiki/Allegheny_Energy
Allegheny Technologies Incorporated,https://www.atimetals.com/
"Allergan, Inc.",https://www.allergan.com/home
"ALLETE, Inc.",http://www.allete.com/
Alliant Energy Corporation,http://www.alliantenergy.com/
"Allied Waste Industries, Inc.",https://en.wikipedia.org/wiki/Allied_Waste_Industries
Allmerica Financial Corporation,https://en.wikipedia.org/wiki/Allmerica_Financial_Corporation
The Allstate Corporation,https://www.allstate.com/about.aspx
ALLTEL Corporation,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx
"The Alpine Group, Inc.",https://www.alpinepdx.com/
"Amazon.com, Inc.",https://www.amazon.com/
AMC Entertainment Inc.,https://www.amctheatres.com/corporate
American Power Conversion Corporation,https://www.apc.com/us/en/country-selector/?ref_url=/
Amerada Hess Corporation,http://www.hess.com/
AMERCO,https://amerco.com/
Ameren Corporation,https://www.ameren.com/
America West Holdings Corporation,https://en.wikipedia.org/wiki/America_West_Holdings_Corporation
"American Axle & Manufacturing Holdings, Inc.",https://www.aam.com/
"American Eagle Outfitters, Inc.",https://www.ae.com/
"American Electric Power Company, Inc.",http://www.aep.com/
American Express Company,https://www.americanexpress.com/
"American Financial Group, Inc.",https://www.afginc.com/
American Greetings Corporation,https://www.americangreetings.com/corporate
"American International Group, Inc.",https://www.aig.com/individual
American Standard Companies Inc.,https://www.americanstandard-us.com/
"American Water Works Company, Inc.",https://amwater.com/
AmerisourceBergen Corporation,https://www.amerisourcebergen.com/abcnew/
"Ames Department Stores, Inc.",https://en.wikipedia.org/wiki/Ames_Department_Stores_Inc.
Amgen Inc.,https://www.amgen.com/
"Amkor Technology, Inc.",https://amkor.com/
AMR Corporation,https://en.wikipedia.org/wiki/AMR_Corporation
AmSouth Bancorp.,https://en.wikipedia.org/wiki/AmSouth_Bancorporation
"Amtran, Inc.",https://www.inc.com/profile/amtran
Anadarko Petroleum Corporation,https://www.anadarko.com/
"Analog Devices, Inc.",https://www.analog.com/en/index.html
"Anheuser-Busch Companies, Inc.",https://www.anheuser-busch.com/
Anixter International Inc.,https://www.anixter.com/en_us.html
AnnTaylor Inc.,https://www.anntaylor.com/
"Anthem, Inc.",https://antheminc.com/
AOL Time Warner Inc.,https://en.wikipedia.org/wiki/Time_Warner
Aon Corporation,http://www.aon.com/home/index.html
Apache Corporation,http://www.apachecorp.com/
"Apple Computer, Inc.",https://en.wikipedia.org/wiki/Apple_Inc.
Applera Corporation,https://en.wikipedia.org/wiki/Applera
"Applied Industrial Technologies, Inc.",http://www.applied.com/
"Applied Materials, Inc.",http://www.appliedmaterials.com/
"Aquila, Inc.","https://en.wikipedia.org/wiki/Aquila,_Inc."
ARAMARK Corporation,https://www.aramark.com/
"Arch Coal, Inc.",http://www.archcoal.com/
Archer Daniels Midland Company,https://www.adm.com/
Arkansas Best Corporation,https://arcb.com/
"Armstrong Holdings, Inc.",http://www.armstrong.com/
"Arrow Electronics, Inc.",https://www.arrow.com/
"ArvinMeritor, Inc.",https://www.meritor.com/
Ashland Inc.,https://www.ashland.com/
Astoria Financial Corporation,https://astoriabank.snb.com/
AT&T Corp.,https://www.att.com/
Atmel Corporation,https://en.wikipedia.org/wiki/Atmel
Atmos Energy Corporation,https://www.atmosenergy.com/
Audiovox Corporation,http://www.voxxintl.com/
"Autoliv, Inc.",https://www.autoliv.com/
"Automatic Data Processing, Inc.",https://www.adp.com/
"AutoNation, Inc.",https://www.autonation.com/
"AutoZone, Inc.",https://www.autozone.com/
Avaya Inc.,https://www.avaya.com/en/
Avery Dennison Corporation,https://www.averydennison.com/en/home.html
Avista Corporation,https://www.myavista.com/about-us/our-company
"Avnet, Inc.",https://www.avnet.com/wps/portal/us/
"Avon Products, Inc.",https://www.avonworldwide.com/
Baker Hughes Incorporated,https://www.bhge.com/
Ball Corporation,https://www.ball.com/
Bank of America Corporation,https://www.bankofamerica.com/
"The Bank of New York Company, Inc.",https://www.britannica.com/topic/The-Bank-of-New-York-Company-Inc
Bank One Corporation,https://en.wikipedia.org/wiki/Bank_One_Corporation
"Banknorth Group, Inc.",https://en.wikipedia.org/wiki/Banknorth_Group%2C_Inc
Banta Corporation,https://en.wikipedia.org/wiki/Banta_Corporation
"Barnes & Noble, Inc.",http://www.barnesandnobleinc.com/
Bausch & Lomb Incorporated,http://www.bausch.com/
Baxter International Inc.,https://www.baxter.com/
BB&T Corporation,https://www.bbt.com/
The Bear Stearns Companies Inc.,https://en.wikipedia.org/wiki/Bear_Stearns
"Beazer Homes USA, Inc.",https://www.beazer.com/
"Beckman Coulter, Inc.",https://www.beckmancoulter.com/
"Becton, Dickinson and Company",https://www.bd.com/
Bed Bath & Beyond Inc.,https://www.bedbathandbeyond.com/
"Belk, Inc.",https://www.belk.com/
Bell Microproducts Inc.,https://www.linkedin.com/company/bell-microproducts
BellSouth Corporation,https://en.wikipedia.org/wiki/BellSouth
Belo Corp.,http://www.ahbelo.com/
"Bemis Company, Inc.",http://www.bemis.com/
"Benchmark Electronics, Inc.",http://www.bench.com/
Berkshire Hathaway Inc.,http://www.berkshirehathaway.com/
"Best Buy Co., Inc.",https://www.bestbuy.com/
Bethlehem Steel Corporation,https://en.wikipedia.org/wiki/Bethlehem_Steel
"Beverly Enterprises, Inc.",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=255627
"Big Lots, Inc.",https://www.biglots.com/
BJ Services Company,https://www.bjservices.com/
"BJ's Wholesale Club, Inc.",https://www.bjs.com/
The Black & Decker Corporation,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=255781
Black Hills Corporation,http://www.blackhillscorp.com/
"BMC Software, Inc.",http://www.bmc.com/
The Boeing Company,http://www.boeing.com/
Boise Cascade Corporation,http://www.bc.com/
"Borders Group, Inc.",https://en.wikipedia.org/wiki/Borders_Group
BorgWarner Inc.,https://www.borgwarner.com/home
Boston Scientific Corporation,http://www.bostonscientific.com/en-US/Home.html
Bowater Incorporated,https://en.wikipedia.org/wiki/Bowater
Briggs & Stratton Corporation,https://www.briggsandstratton.com/na/en_us/home.html
"Brightpoint, Inc.",https://mybrightpoint.org/
"Brinker International, Inc.",http://www.brinker.com/
Bristol-Myers Squibb Company,https://www.bms.com/
"Broadwing, Inc.",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4207314
"Brown Shoe Company, Inc.",https://www.caleres.com/
Brown-Forman Corporation,https://www.brown-forman.com/
Brunswick Corporation,https://www.brunswick.com/
"Budget Group, Inc.",http://avisbudgetgroup.com/
Burlington Coat Factory Warehouse Corporation,https://en.wikipedia.org/wiki/Burlington_Coat_Factory_Warehouse_Corporation
"Burlington Industries, Inc.",https://www.burlington.com/
Burlington Northern Santa Fe Corporation,http://www.bnsf.com/
Burlington Resources Inc.,https://en.wikipedia.org/wiki/Burlington_Resources
C. H. Robinson Worldwide Inc.,https://www.chrobinson.com/
Cablevision Systems Corp,https://en.wikipedia.org/wiki/Cablevision
Cabot Corp,http://www.cabotcorp.com/
"Cadence Design Systems, Inc.",https://www.cadence.com/
Calpine Corp.,http://www.calpine.com/
Campbell Soup Co.,https://www.campbellsoupcompany.com/
Capital One Financial Corp.,https://www.capitalone.com/
Cardinal Health Inc.,https://www.cardinalhealth.com/en.html
Caremark Rx Inc.,https://www.caremark.com/wps/portal/
Carlisle Cos. Inc.,https://carlisle.com/
Carpenter Technology Corp.,https://www.cartech.com/
Casey's General Stores Inc.,https://www.caseys.com/
Caterpillar Inc.,http://caterpillar.com/
CBRL Group Inc.,https://investor.cbrlgroup.com/
CDI Corp.,https://www.cdicorp.com/
CDW Computer Centers Inc.,https://www.cdw.com/
CellStar Corp.,https://www.encyclopedia.com/books/politics-and-business-magazines/cellstar-corporation
Cendant Corp,https://en.wikipedia.org/wiki/Cendant
Cenex Harvest States Cooperatives,http://www.chsinc.com/
Centex Corp.,https://www.centex.com/
CenturyTel Inc.,https://interapp.centurytel.com/custserv/contact_us/contact_info.cfm
Ceridian Corp.,https://www.ceridian.com/
CH2M Hill Cos. Ltd.,https://www.ch2m.com/
Champion Enterprises Inc.,https://www.championhomes.com/
Charles Schwab Corp.,https://www.schwab.com/
Charming Shoppes Inc.,http://www.charmingshoppes.com/
Charter Communications Inc.,https://en.wikipedia.org/wiki/Charter_Communications
Charter One Financial Inc.,https://en.wikipedia.org/wiki/Charter_One
ChevronTexaco Corp.,https://www.chevron.com/
Chiquita Brands International Inc.,https://www.chiquita.com/
Chubb Corp,https://www.chubb.com/us-en/
Ciena Corp.,https://www.ciena.com/
Cigna Corp,https://www.cigna.com/
Cincinnati Financial Corp.,https://www.cinfin.com/
Cinergy Corp.,https://cinergy.com/
Cintas Corp.,https://www.cintas.com/
Circuit City Stores Inc.,http://circuitcitycorporation.com/
Cisco Systems Inc.,https://www.cisco.com/
"Citigroup, Inc",https://www.citigroup.com/citi/
Citizens Communications Co.,https://en.wikipedia.org/wiki/Frontier_Communications
CKE Restaurants Inc.,http://www.ckr.com/
Clear Channel Communications Inc.,http://iheartmedia.com/
The Clorox Co.,https://www.thecloroxcompany.com/
CMGI Inc.,http://www.referenceforbusiness.com/history2/29/CMGI-Inc.html
CMS Energy Corp.,https://www.cmsenergy.com/home/default.aspx
CNF Inc.,https://en.wikipedia.org/wiki/Con-way
Coca-Cola Co.,https://www.coca-colacompany.com/
Coca-Cola Enterprises Inc.,https://www.ccep.com/
Colgate-Palmolive Co.,https://www.colgatepalmolive.com/en-us
Collins & Aikman Corp.,https://en.wikipedia.org/wiki/Collins_%26_Aikman
Comcast Corp.,https://www.xfinity.com/
Comdisco Inc.,http://www.comdisco.com/
Comerica Inc.,https://www.comerica.com/
Comfort Systems USA Inc.,http://comfortsystemsusa.com/
Commercial Metals Co.,https://www.cmc.com/en/americas/pages/home.aspx
Community Health Systems Inc.,http://www.chs.net/
Compass Bancshares Inc,https://www.bbvacompass.com/
Computer Associates International Inc.,https://www.ca.com/us.html
Computer Sciences Corp.,https://en.wikipedia.org/wiki/Computer_Sciences_Corporation
Compuware Corp.,https://compuware.com/
Comverse Technology Inc.,https://en.wikipedia.org/wiki/Comverse_Technology
ConAgra Foods Inc.,https://conagrabrands.com/
Concord EFS Inc.,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=263053
"Conectiv, Inc",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=1592893
Conoco Inc,https://www.conoco.com/
Conseco Inc.,http://conseco.com/
Consolidated Freightways Corp.,https://en.wikipedia.org/wiki/Consolidated_Freightways
Consolidated Edison Inc.,https://www.coned.com/en
Constellation Brands Inc.,http://www.cbrands.com/
Constellation Emergy Group Inc.,http://www.constellation.com/
Continental Airlines Inc.,https://en.wikipedia.org/wiki/Continental_Airlines
Convergys Corp.,https://en.wikipedia.org/wiki/Convergys
Cooper Cameron Corp.,https://www.cameron.slb.com/
Cooper Industries Ltd.,http://www.cooperindustries.com/
Cooper Tire & Rubber Co.,http://coopertire.com/
Corn Products International Inc.,http://www.ingredion.com/
Corning Inc.,http://www.corning.com/
Costco Wholesale Corp.,https://www.costco.com/
Countrywide Credit Industries Inc.,http://www.company-histories.com/Countrywide-Credit-Industries-Inc-Company-History.html
Coventry Health Care Inc.,http://coventryhealthcare.com/contact-us/index.htm
Cox Communications Inc.,https://www.cox.com/residential/home.html
Crane Co.,http://www.craneco.com/
Crompton Corp.,http://www.chemtura.com/
Crown Cork & Seal Co. Inc.,https://www.crowncork.com/
CSK Auto Corp.,https://en.wikipedia.org/wiki/CSK_Auto
CSX Corp.,http://csx.com/
Cummins Inc.,https://www.cummins.com/
CVS Corp.,https://cvshealth.com/
Cytec Industries Inc.,https://www.solvay.com/en
"D&K Healthcare Resources, Inc.",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=125227
D.R. Horton Inc.,http://www.drhorton.com/
Dana Corporation,http://www.dana.com/
Danaher Corporation,http://www.danaher.com/
Darden Restaurants Inc.,https://www.darden.com/
DaVita Inc.,https://www.davita.com/
Dean Foods Company,http://www.deanfoods.com/
Deere & Company,https://www.deere.com/en/index.html
Del Monte Foods Co,https://www.delmonte.com/
Dell Computer Corporation,https://www.dell.com/en-us
Delphi Corp.,https://www.delphi.com/
Delta Air Lines Inc.,https://www.delta.com/
Deluxe Corporation,https://www.deluxe.com/
Devon Energy Corporation,http://devonenergy.com/
Di Giorgio Corporation,https://en.wikipedia.org/wiki/DiGiorgio_Corporation
Dial Corporation,https://www.dialsoap.com/
Diebold Incorporated,https://www.dieboldnixdorf.com/
Dillard's Inc.,https://www.dillards.com/
DIMON Incorporated,https://www.dimonfuneralhome.com/
"Dole Food Company, Inc.",http://www.dole.com/
Dollar General Corporation,https://www.dollargeneral.com/
"Dollar Tree Stores, Inc.",https://www.dollartree.com/
"Dominion Resources, Inc.",https://www.dominionenergy.com/
Domino's Pizza LLC,https://www.dominos.com/en/
"Dover Corporation, Inc.",https://www.dovercorporation.com/
Dow Chemical Company,https://www.dow.com/en-us
"Dow Jones & Company, Inc.",https://www.dowjones.com/
DPL Inc.,http://www.dplinc.com/
DQE Inc.,https://dqeready.com/
"Dreyer's Grand Ice Cream, Inc.",https://www.dreyers.com/
"DST Systems, Inc.",https://www.dstsystems.com/
DTE Energy Co.,http://www.dteenergy.com/
E.I. Du Pont de Nemours and Company,http://www.dupont.com/
Duke Energy Corp,https://www.duke-energy.com/home
Dun & Bradstreet Inc.,https://www.dnb.com/
DURA Automotive Systems Inc.,https://www.duraauto.com/
DynCorp,https://www.dyn-intl.com/
Dynegy Inc.,https://www.dynegy.com/
"E*Trade Group, Inc.",https://us.etrade.com/home
E.W. Scripps Company,http://www.scripps.com/
"Earthlink, Inc.",https://www.earthlink.net/
Eastman Chemical Company,https://www.eastman.com/Pages/Home.aspx
Eastman Kodak Company,https://www.kodak.com/corp/default.htm
Eaton Corporation,http://www.eaton.com/us/en-us.html
Echostar Communications Corporation,http://echostar.com/
Ecolab Inc.,https://www.ecolab.com/
Edison International,https://www.edison.com/
EGL Inc.,https://www.bloomberg.com/profiles/companies/8285461Q:US-egl-inc
El Paso Corporation,https://en.wikipedia.org/wiki/El_Paso_Corp.
